TANGGAL,TX,RH_AVG,RR,FF_X,FF_AVG
22-01-2024,30.7,85,-,3,2
23-01-2024,31,88,8888,5,2
24-01-2024,29.5,90,36.9,6,3
25-01-2024,28.6,94,14.5,7,2
26-01-2024,30.5,83,85.2,9,4
27-01-2024,30.9,84,8888,7,3
28-01-2024,30.4,83,6.5,8,4
29-01-2024,30.5,83,5.6,8,3
30-01-2024,30.5,82,1,6,3
31-01-2024,29.3,86,0,4,2
01-02-2024,30.1,84,8888,5,2
02-02-2024,31.6,82,8888,7,3
03-02-2024,31.7,81,0,8,3
04-02-2024,32,77,0,8,3
05-02-2024,32.8,80,0,6,3
06-02-2024,32.1,81,-,5,2
07-02-2024,31.2,83,0,5,2
08-02-2024,32.6,81,0,7,3
09-02-2024,31.6,82,-,6,3
10-02-2024,31.7,78,8888,7,3
11-02-2024,31.8,80,10.5,7,4
12-02-2024,27.6,88,26.9,9,3
13-02-2024,30.1,85,16,6,4
14-02-2024,30.6,86,5,7,3
15-02-2024,30.6,89,6.4,8,3
16-02-2024,30.1,88,15.2,6,3
17-02-2024,30.2,83,9.2,5,2
18-02-2024,32.1,81,-,5,2
19-02-2024,32.1,80,0,5,2
20-02-2024,32,82,-,5,2
21-02-2024,32.6,80,0,5,2
22-02-2024,31,85,0,5,1
23-02-2024,31,81,18.5,6,2
24-02-2024,31.4,79,-,6,2
25-02-2024,31.8,79,0,6,3
26-02-2024,31.9,82,0,6,3
27-02-2024,31.2,84,6,6,3
28-02-2024,31.4,79,6.9,6,3
29-02-2024,31.4,81,-,5,3
01-03-2024,32.4,80,8888,5,3
02-03-2024,31.5,83,0,5,3
03-03-2024,30.8,89,6.8,6,2
04-03-2024,30.8,90,23.4,5,2
05-03-2024,30.3,94,7,3,1
06-03-2024,31,91,36.1,4,1
07-03-2024,31.8,85,41.4,4,2
08-03-2024,29.9,91,0,4,1
09-03-2024,31.2,84,22.6,4,2
10-03-2024,30.5,82,0.5,7,4
11-03-2024,31.5,78,0.8,6,3
12-03-2024,31.6,77,3.5,7,3
13-03-2024,32.1,74,0,5,3
14-03-2024,31.8,78,0,7,3
15-03-2024,30.7,78,0,5,2
16-03-2024,32.2,79,-,5,2
17-03-2024,32,76,0,6,3
18-03-2024,32.2,80,0,5,2
19-03-2024,32.2,80,0,5,2
20-03-2024,31.5,78,8888,5,3
21-03-2024,34.4,77,0,5,2
22-03-2024,32.4,76,-,6,2
23-03-2024,33.6,76,0,5,2
24-03-2024,33.5,77,-,4,2
25-03-2024,33.6,76,0,4,2
26-03-2024,32.7,80,0,6,2
27-03-2024,32.9,78,4,5,2
28-03-2024,33,81,-,7,2
29-03-2024,33,78,0,7,3
30-03-2024,34,80,0.5,6,2
31-03-2024,32.4,83,0,3,1
01-04-2024,32.5,90,0.9,5,1
02-04-2024,32.6,87,11.3,3,1
03-04-2024,33.2,86,8.9,11,2
04-04-2024,31.5,92,23.4,4,1
05-04-2024,32.8,76,49.6,4,2
06-04-2024,33.2,80,0.2,5,2
07-04-2024,33.4,79,0,6,2
08-04-2024,33,87,0,4,1
09-04-2024,33.6,80,2.4,4,2
10-04-2024,31.4,87,8888,6,2
11-04-2024,31.9,88,4.7,4,2
12-04-2024,28.2,96,13.3,4,1
13-04-2024,31.6,85,12.6,5,2
14-04-2024,30.8,91,8888,4,1
15-04-2024,32,90,20.5,7,2
16-04-2024,32,93,0.8,6,2
17-04-2024,30.1,93,91,5,1
18-04-2024,31.8,86,17.1,3,1
19-04-2024,34.2,84,8888,6,1
20-04-2024,31.8,93,0,4,1
21-04-2024,32.2,86,71,4,1
22-04-2024,33.8,87,8888,4,1
23-04-2024,31.6,88,0.1,4,1
24-04-2024,32.4,85,15.2,4,1
25-04-2024,33.2,85,-,4,1
26-04-2024,32.7,85,0,4,1
27-04-2024,33.6,82,-,5,1
28-04-2024,32.9,86,0,6,2
29-04-2024,33.8,83,0,4,2
30-04-2024,31.8,86,0,3,1
01-05-2024,34,87,0,5,2
02-05-2024,32,91,18,4,1
03-05-2024,32.3,90,11.4,4,1
04-05-2024,-,96,2.7,8,2
05-05-2024,32.2,86,23.1,3,1
06-05-2024,31.8,86,0,3,1
07-05-2024,30.7,91,0,8,1
08-05-2024,29,94,37.7,3,1
09-05-2024,33,82,1.1,4,1
10-05-2024,32.8,92,0,4,1
11-05-2024,31.6,90,18.3,6,1
12-05-2024,32.1,89,2.4,4,1
13-05-2024,31.4,91,3.8,3,1
14-05-2024,32,90,1.8,5,1
15-05-2024,-,88,68.5,4,1
16-05-2024,31.8,90,0.3,6,2
17-05-2024,33.2,86,8888,4,1
18-05-2024,31.6,89,8888,4,2
19-05-2024,32,93,4.2,6,2
20-05-2024,27.8,97,25.4,3,1
21-05-2024,31.6,93,4.4,4,1
22-05-2024,31.8,94,9.5,4,1
23-05-2024,31.2,91,53.3,4,1
24-05-2024,28.8,94,31.6,3,1
25-05-2024,-,90,15,4,2
26-05-2024,32.2,88,15,4,1
27-05-2024,32,86,0,4,2
28-05-2024,32.4,86,8888,5,2
29-05-2024,32.7,87,0,6,2
30-05-2024,30.4,90,8888,6,1
31-05-2024,32.4,90,61.1,5,2
01-06-2024,28.7,93,40.5,5,2
02-06-2024,29.8,95,22.7,4,1
03-06-2024,31.6,87,50.8,6,1
04-06-2024,31.8,86,1.8,3,1
05-06-2024,32.8,81,8888,4,2
06-06-2024,32.4,86,0,5,1
07-06-2024,31.5,89,2.1,4,1
08-06-2024,32.4,88,3.3,5,1
09-06-2024,32.2,89,8.8,5,1
10-06-2024,31.8,88,1.9,6,2
11-06-2024,33.6,84,13.4,5,1
12-06-2024,32,87,7.7,5,1
13-06-2024,32.8,87,1.3,3,1
14-06-2024,32.6,89,4.9,11,2
15-06-2024,30.7,89,9,4,2
16-06-2024,31.2,88,17.2,5,2
17-06-2024,31.9,83,0.2,4,2
18-06-2024,31.6,89,8888,5,2
19-06-2024,31.2,90,25.6,4,1
20-06-2024,32,85,2.9,6,2
21-06-2024,28.2,93,16.5,6,3
22-06-2024,26.8,94,55.6,6,2
23-06-2024,32,83,43.9,6,2
24-06-2024,32.4,86,-,5,2
25-06-2024,33,84,-,5,1
26-06-2024,32.8,83,8888,4,2
27-06-2024,29.2,91,0,3,1
28-06-2024,31.3,85,0.3,4,1
29-06-2024,30.6,86,0,4,2
30-06-2024,28.6,87,8888,7,2
01-07-2024,32.3,88,8888,4,1
02-07-2024,30.2,90,18.6,3,1
03-07-2024,32.9,86,1.5,6,2
04-07-2024,32.1,83,25.5,5,2
05-07-2024,32,80,0.5,4,1
06-07-2024,30.2,88,0.5,4,2
07-07-2024,31.4,88,0.1,3,1
08-07-2024,28,0,-,5,1
09-07-2024,29.6,94,24.7,7,2
10-07-2024,31.8,86,31.1,5,2
11-07-2024,32,83,0,6,3
12-07-2024,30.8,87,0,5,2
13-07-2024,31.6,88,10.4,6,2
14-07-2024,31.6,82,8888,7,2
15-07-2024,32,84,1,8,3
16-07-2024,32,80,0,6,2
17-07-2024,32.2,85,0,6,2
18-07-2024,33,85,0,6,3
19-07-2024,32.1,86,0,6,3
20-07-2024,33.4,81,0,6,3
21-07-2024,33,79,0,8,3
22-07-2024,32.4,80,0,8,3
23-07-2024,32.6,81,0,6,3
24-07-2024,32.8,82,0,7,3
25-07-2024,33.2,77,0,7,3
26-07-2024,33.2,77,0,7,3
27-07-2024,32.9,80,0,7,3
28-07-2024,32.7,78,0,9,4
29-07-2024,33,77,0,7,3
30-07-2024,33,84,0,6,3
31-07-2024,33.6,76,0,7,2
01-08-2024,33.6,88,0,6,3
02-08-2024,32.4,86,6.8,6,2
03-08-2024,32.2,84,13.1,5,3
04-08-2024,32.6,85,0,7,2
05-08-2024,32.7,81,12.6,5,3
06-08-2024,32,81,0,7,3
07-08-2024,32.4,83,0,6,3
08-08-2024,33.6,81,8888,7,3
09-08-2024,32.2,81,8888,7,3
10-08-2024,30.3,91,8888,6,2
11-08-2024,29.8,84,6,5,2
12-08-2024,32.2,84,1,6,3
13-08-2024,32.5,78,0,7,4
14-08-2024,31.8,83,0,7,3
15-08-2024,31.1,90,19.6,6,2
16-08-2024,31.6,87,19.4,6,3
17-08-2024,31.6,85,8888,7,3
18-08-2024,31.6,90,7,6,2
19-08-2024,32.2,85,1.2,5,2
20-08-2024,31.3,93,1.1,6,2
21-08-2024,29.6,86,57.4,6,2
22-08-2024,32.8,85,0,5,2
23-08-2024,31.8,88,28.2,6,3
24-08-2024,27.7,91,66,6,2
25-08-2024,28,89,6.6,5,2
26-08-2024,32,85,3,6,2
27-08-2024,32.4,83,0,6,3
28-08-2024,31.6,82,3.3,6,2
29-08-2024,32.2,84,0,6,3
30-08-2024,32.6,82,0,5,3
31-08-2024,33.2,84,0,6,3
01-09-2024,33.3,82,0,6,3
02-09-2024,32.8,82,0,9,4
03-09-2024,33,80,0,8,3
04-09-2024,29.7,88,8888,6,2
05-09-2024,32.4,83,12.4,6,2
06-09-2024,31.9,82,0,7,3
07-09-2024,32.5,84,0,9,4
08-09-2024,32.8,87,0,6,2
09-09-2024,30.1,96,0.4,4,2
10-09-2024,30.9,85,30,6,3
11-09-2024,30.8,93,0,4,2
12-09-2024,30,86,12.8,9,4
13-09-2024,32.6,87,0,8,3
14-09-2024,30.8,84,16.5,6,2
15-09-2024,30.4,84,1.5,5,2
16-09-2024,32.2,85,0.3,6,3
17-09-2024,32.6,81,0,8,4
18-09-2024,32.8,76,11.2,7,3
19-09-2024,32.7,84,0.2,8,3
20-09-2024,32.6,82,8888,8,3
21-09-2024,29.9,87,9,4,2
22-09-2024,32.8,87,8888,6,2
23-09-2024,33.1,86,0.2,7,2
24-09-2024,30.4,91,0.4,3,1
25-09-2024,30.7,92,11.3,4,2
26-09-2024,29.5,85,11.6,8,3
27-09-2024,33.2,84,0,5,2
28-09-2024,32.2,87,0,5,2
29-09-2024,32.6,85,0,5,2
30-09-2024,32,90,0.1,4,2
01-10-2024,31.7,96,71.8,5,2
02-10-2024,31.6,86,34.2,6,2
03-10-2024,32.4,84,3.9,4,2
04-10-2024,30,96,0,5,2
05-10-2024,30.6,88,29,6,2
06-10-2024,28,93,8888,5,1
07-10-2024,31.5,88,25.9,5,2
08-10-2024,31.4,89,0,6,2
09-10-2024,31.1,91,0.6,7,2
10-10-2024,31,90,21.5,5,2
11-10-2024,30.6,94,4.5,3,1
12-10-2024,30,94,8888,4,1
13-10-2024,30.4,90,70.7,5,2
14-10-2024,27.8,94,4.6,4,2
15-10-2024,30,88,29.5,7,2
16-10-2024,31.2,86,7.8,7,2
17-10-2024,32,81,0,6,2
18-10-2024,32,87,8888,5,2
19-10-2024,32.3,87,8,5,2
20-10-2024,31.3,83,1.4,3,2
21-10-2024,33.5,84,0,4,2
22-10-2024,34,86,1.9,5,2
23-10-2024,31.8,89,0,6,2
24-10-2024,32.2,89,0.9,6,2
25-10-2024,32,86,3.2,6,2
26-10-2024,32.4,81,0,5,2
27-10-2024,33.4,82,0,5,2
28-10-2024,33.4,85,8888,7,2
29-10-2024,34,81,1,6,2
30-10-2024,34.4,83,0,6,2
31-10-2024,31.4,86,0,6,2
01-11-2024,33,84,3,6,2
02-11-2024,30,94,18.8,9,2
03-11-2024,30.6,95,77.9,3,1
04-11-2024,30.2,84,1.3,4,2
05-11-2024,31.6,85,0,5,2
06-11-2024,31,82,8888,7,2
07-11-2024,31,90,0,7,2
08-11-2024,32.6,79,1.6,6,2
09-11-2024,32.4,91,0,5,2
10-11-2024,33,85,4.3,6,2
11-11-2024,33,88,8.9,4,2
12-11-2024,31.8,86,9.1,5,2
13-11-2024,30.6,94,2,5,2
14-11-2024,30.4,93,84.5,6,2
15-11-2024,30.5,93,4.5,4,1
16-11-2024,31.2,94,8,3,1
17-11-2024,31.8,90,30.1,6,2
18-11-2024,26.8,97,37.7,4,2
19-11-2024,28.6,94,29.8,3,2
20-11-2024,28.4,92,7,4,2
21-11-2024,30.2,95,4.5,4,1
22-11-2024,29.7,97,36.4,4,2
23-11-2024,30.8,95,38,4,1
24-11-2024,27.8,94,23.9,2,1
25-11-2024,31,91,8888,3,1
26-11-2024,29.7,91,9.8,7,2
27-11-2024,28,94,5.7,6,2
28-11-2024,30.1,92,5.7,6,2
29-11-2024,27,95,60.1,5,2
30-11-2024,32.3,83,10.8,5,2
