TANGGAL,TX,RH_AVG,RR,FF_X,FF_AVG
26-08-2022,28.6,90,5.6,4,1
27-08-2022,30.6,89,13.9,6,2
28-08-2022,30.6,83,29.5,4,1
29-08-2022,31.4,84,1.4,6,2
30-08-2022,28.4,91,3,4,1
31-08-2022,31,85,24.1,5,2
01-09-2022,32.1,86,10.4,6,1
02-09-2022,28.6,88,30.9,5,2
03-09-2022,-,86,2.4,8,2
04-09-2022,31.4,84,3,7,1
05-09-2022,31.6,90,1.8,9,2
06-09-2022,31.3,90,38.5,7,2
07-09-2022,26.9,93,56.8,5,2
08-09-2022,30,86,15.1,4,1
09-09-2022,29.5,93,8888,3,1
10-09-2022,31,82,20.2,7,2
11-09-2022,32.4,82,0,8,3
12-09-2022,31.6,84,5.7,5,2
13-09-2022,28.8,92,0.2,4,2
14-09-2022,25.8,92,28.1,5,2
15-09-2022,31.2,83,6.1,7,2
16-09-2022,31.5,83,8888,6,2
17-09-2022,31.2,83,0,5,2
18-09-2022,28,94,6,10,2
19-09-2022,30.1,86,67.9,4,2
20-09-2022,29.5,88,0,4,1
21-09-2022,31.4,83,0,7,2
22-09-2022,27,91,0,10,2
23-09-2022,31.8,81,2.3,5,2
24-09-2022,30.9,82,-,7,3
25-09-2022,29.2,84,0,6,3
26-09-2022,30.9,84,8888,7,3
27-09-2022,30.4,90,8888,5,1
28-09-2022,31.1,84,13.7,6,2
29-09-2022,32.2,85,0,6,2
30-09-2022,32.8,81,0,7,2
01-10-2022,31.4,90,0,4,1
02-10-2022,30.2,90,54.2,5,2
03-10-2022,30,91,19,4,1
04-10-2022,29.9,92,71.2,5,1
05-10-2022,28.4,91,43.5,5,1
06-10-2022,31.2,90,2.8,9,2
07-10-2022,28.5,95,42.7,5,2
08-10-2022,29.2,89,9,5,2
09-10-2022,31.1,83,0.4,5,2
10-10-2022,28.8,89,7,5,2
11-10-2022,32,84,3.4,6,1
12-10-2022,28.6,83,46.2,4,2
13-10-2022,31.2,82,8888,10,2
14-10-2022,31.2,82,0,5,2
15-10-2022,31.4,80,9.4,6,2
16-10-2022,29.7,85,17.4,4,1
17-10-2022,30,87,1.6,5,2
18-10-2022,30.8,82,2.3,5,1
19-10-2022,-,84,0,5,1
20-10-2022,31.7,80,1.4,6,2
21-10-2022,30.2,88,0,7,1
22-10-2022,30.5,86,25.8,5,3
23-10-2022,29.6,86,2,6,2
24-10-2022,29.5,86,5,4,2
25-10-2022,30.3,86,1,4,2
26-10-2022,29.6,86,0.2,10,2
27-10-2022,31.5,78,14.7,6,2
28-10-2022,32,80,-,6,2
29-10-2022,30.7,80,8888,4,2
30-10-2022,32.3,84,0,6,2
31-10-2022,30.7,83,40.5,6,2
01-11-2022,27.3,93,8888,3,1
02-11-2022,32,82,13.4,4,2
03-11-2022,29.2,86,4.6,4,1
04-11-2022,32.1,81,3,7,2
05-11-2022,25.6,93,6,5,1
06-11-2022,28.5,92,21.2,7,1
07-11-2022,30.2,86,22.3,4,1
08-11-2022,29.2,93,8888,4,1
09-11-2022,26.2,96,29.6,7,2
10-11-2022,27.9,91,23.9,3,1
11-11-2022,30.2,85,2.2,5,1
12-11-2022,30,92,1.2,5,1
13-11-2022,27.8,94,32.4,6,1
14-11-2022,29.5,88,11.2,5,2
15-11-2022,30.7,83,24.2,5,2
16-11-2022,32,83,0,8,3
17-11-2022,29.8,85,13.9,6,1
18-11-2022,30.8,82,0.2,4,2
19-11-2022,-,91,0,6,1
20-11-2022,30.2,80,7.5,7,3
21-11-2022,31.8,79,7.5,10,2
22-11-2022,32,79,0,5,2
23-11-2022,28.3,88,10.5,4,1
24-11-2022,32,81,1.4,6,2
25-11-2022,28.6,85,33,3,1
26-11-2022,30.7,86,8888,3,1
27-11-2022,26.2,94,8888,12,1
28-11-2022,31,84,14.9,4,1
29-11-2022,30,90,5.8,8,2
30-11-2022,30.9,86,26.8,7,2
01-12-2022,29,89,25.6,4,1
02-12-2022,29.4,84,1.6,5,2
03-12-2022,29.8,84,0.1,7,1
04-12-2022,27.3,92,2.7,7,1
05-12-2022,31,93,3.8,6,1
06-12-2022,29.4,91,38.8,5,2
07-12-2022,31.2,82,8.9,4,2
08-12-2022,28.5,92,0.7,4,2
09-12-2022,28.2,88,3.8,4,1
10-12-2022,29.2,87,6.8,4,1
11-12-2022,25.8,94,6,4,1
12-12-2022,29.2,92,24.8,5,2
13-12-2022,28.1,94,47.3,7,2
14-12-2022,28.7,94,22.4,5,2
15-12-2022,27,93,36.6,6,2
16-12-2022,30.8,82,2.8,5,2
17-12-2022,30.5,89,0,4,1
18-12-2022,30.6,86,12.5,6,2
19-12-2022,28.7,88,22.2,7,3
20-12-2022,30,86,1.7,5,2
21-12-2022,29.8,84,0.2,6,3
22-12-2022,29.4,85,8888,6,4
23-12-2022,28.6,87,2.8,7,3
24-12-2022,29.5,76,0.8,10,4
25-12-2022,29.9,75,0,11,5
26-12-2022,30,78,0,9,4
27-12-2022,29.6,78,0,8,3
28-12-2022,28.8,80,0.4,6,3
29-12-2022,29.3,82,8888,8,4
30-12-2022,30,76,1.6,10,4
31-12-2022,30,75,1.6,13,6
01-01-2023,29.9,79,0,7,3
02-01-2023,30.3,80,0,12,4
03-01-2023,30.4,83,-,10,4
04-01-2023,27,91,15.1,6,3
05-01-2023,29.8,83,6.2,9,4
06-01-2023,31.6,78,0.1,5,3
07-01-2023,31,78,0,9,2
08-01-2023,31.7,77,0,6,3
09-01-2023,31.8,82,0,4,2
10-01-2023,30.5,84,0,4,1
11-01-2023,-,92,8888,10,1
12-01-2023,31.2,82,43.4,4,2
13-01-2023,30.7,87,0,3,1
14-01-2023,30.5,86,12.5,4,1
15-01-2023,32,82,8888,5,1
16-01-2023,30.1,79,2.7,7,3
17-01-2023,30.6,76,0,6,4
18-01-2023,30.4,80,-,7,4
19-01-2023,28.4,90,0.6,6,2
20-01-2023,29,88,15.6,8,3
21-01-2023,30.2,84,40.2,6,2
22-01-2023,29.6,86,0,8,2
